timestamp,open,high,low,close,volume
2023-01-01 09:30:00,100.0,100.5,99.5,100.0,1000
2023-01-01 09:31:00,100.0,100.5,99.5,100.0,1000
2023-01-01 09:32:00,100.0,100.5,99.5,100.0,1000
2023-01-01 09:33:00,100.0,100.5,99.5,100.0,1000
2023-01-01 09:34:00,100.0,100.5,99.5,100.0,1000
2023-01-01 09:35:00,105.0,105.5,104.5,105.0,1000
2023-01-01 09:36:00,106.0,106.5,105.5,106.0,1000
2023-01-01 09:37:00,107.0,107.5,106.5,107.0,1000
2023-01-01 09:38:00,108.0,108.5,107.5,108.0,1000
2023-01-01 09:39:00,109.0,109.5,108.5,109.0,1000
2023-01-01 09:40:00,110.0,110.5,109.5,110.0,1000
2023-01-01 09:41:00,110.0,110.5,109.5,110.0,1000
2023-01-01 09:42:00,110.0,110.5,109.5,110.0,1000
2023-01-01 09:43:00,110.0,110.5,109.5,110.0,1000
2023-01-01 09:44:00,110.0,110.5,109.5,110.0,1000
2023-01-01 09:45:00,95.0,95.5,94.5,95.0,1000
2023-01-01 09:46:00,90.0,90.5,89.5,90.0,1000
2023-01-01 09:47:00,85.0,85.5,84.5,85.0,1000
2023-01-01 09:48:00,80.0,80.5,79.5,80.0,1000
2023-01-01 09:49:00,75.0,75.5,74.5,75.0,1000
